Symbol,Annualized_Volatility
CAMS.NS,0.34701438216340635
CANARYS.NS,0.5733043171511204
CANBK.NS,0.39577915066668246
CANFINHOME.NS,0.3653742185353243
CANTABIL.NS,0.42909297152180853
CAPACITE.NS,0.4874258933856583
CAPITALSFB.NS,0.2913670043012337
CAPLIPOINT.NS,0.43927899145712723
CAPTRUST.NS,0.5946947956470248
CARBORUNIV.NS,0.3475027974195875
CARERATING.NS,0.3974277161043067
CARTRADE.NS,0.48881856916574545
CARYSIL.NS,0.4803882388149031
CASTROLIND.NS,0.31881672649465953
CBAZAAR.NS,0.5517129413497933
CCAVENUE.NS,0.48287412394150886
CCCL.NS,0.7700364006144623
CCHHL.NS,0.5275949138056178
CCL.NS,0.36985214163646657
CDSL.NS,0.39209332369253497
CEATLTD.NS,0.3764943350831817
CELEBRITY.NS,0.5746895645620176
CELLECOR.NS,0.5926978280581179
CELLO.NS,0.30117626614215726
CELLPOINT.NS,0.44387921290761834
CEMPRO.NS,0.5115808439834041
CENTENKA.NS,0.41080882156651255
CENTEXT.NS,0.6310718123255634
CENTRALBK.NS,0.4680621723418708
CENTRUM.NS,0.5360833976065059
CENTUM.NS,0.552836298304026
CENTURYPLY.NS,0.3535023660952571
CERA.NS,0.3276330547842512
CEREBRAINT.NS,0.5062850631651196
CESC.NS,0.34738138558731013
CGCL.NS,0.4236163472503783
CGPOWER.NS,0.42315367292647055
CGRAPHICS.NS,0.5776535040628232
CHALET.NS,0.4034431068792731
CHAMBLFERT.NS,0.3980056116238524
CHAVDA.NS,0.544533432460646
CHEMBOND.NS,0.47574757923956745
CHEMCON.NS,0.39581082192632944
CHEMFAB.NS,0.5138950639867614
CHEMPLASTS.NS,0.4120716265263071
CHENNPETRO.NS,0.5266521878721665
CHEVIOT.NS,0.29207175572762506
CHOICEIN.NS,0.2837677980119694
CHOLAFIN.NS,0.42101313876590346
CHOLAHLDNG.NS,0.35106661205117384
CIEINDIA.NS,0.39349340870234806
CINELINE.NS,0.5315176452276689
CINEVISTA.NS,0.5604101549488942
CIPLA.NS,0.26245638187810366
CLEAN.NS,0.3291070244504639
CLEDUCATE.NS,0.5525106844563435
CLSEL.NS,0.4578092767409439
CLSL.NS,0.4983017829509573
CMNL.NS,0.578169734748229
CMRSL.NS,0.5844114466025512
CMSINFO.NS,0.3160915620023716
CNL.NS,0.4826588087643648
COALINDIA.NS,0.3146882646755948
COASTCORP.NS,0.5351662941360003
COCHINSHIP.NS,0.46292980377176185
COFFEEDAY.NS,0.5757631939033627
COFORGE.NS,0.4197341571142252
COHANCE.NS,0.40778781376286094
COLPAL.NS,0.2316634632590346
