Symbol,Risk_Contribution,Risk_Contribution_Pct
BSHSL.NS,5.516611442245568e-05,0.000342663268025089
BSL.NS,9.385942254712225e-05,0.0005830060137759645
BSOFT.NS,8.983768548413614e-05,0.0005580250706813122
BTML.NS,3.613747232332264e-05,0.00022446722039635577
BUTTERFLY.NS,6.74125932931135e-05,0.000418732038058159
BVCL.NS,8.184435181848919e-05,0.0005083746310054192
BYKE.NS,0.00011424201106426026,0.0007096120737679318
CADSYS.NS,3.181248385657374e-05,0.0001976026369885431
CALSOFT.NS,7.454477534651998e-05,0.0004630334509119766
CAMLINFINE.NS,0.00010844136313415224,0.0006735814597360563
CAMPUS.NS,3.951179032101377e-05,0.0002454267323095975
CAMS.NS,6.43474102690611e-05,0.0003996927121401951
CANARYS.NS,5.2199425381309305e-05,0.00032423573560421516
CANBK.NS,0.00010610742294136766,0.0006590842347237918
CANFINHOME.NS,8.192922567486281e-05,0.000508901823346213
CANTABIL.NS,8.126072733338494e-05,0.0005047494586426566
CAPACITE.NS,0.00012655438079188565,0.000786090123602885
CAPITALSFB.NS,2.5121068516964233e-05,0.00015603903817451345
CAPLIPOINT.NS,8.411161625739144e-05,0.0005224577008435782
CAPTRUST.NS,9.040801429523343e-05,0.0005615676572184548
CARBORUNIV.NS,6.195829791963391e-05,0.00038485278632877025
CARERATING.NS,6.886145172609536e-05,0.0004277315945929796
CARTRADE.NS,6.376744925710904e-05,0.00039609029537107546
CARYSIL.NS,7.788981420652737e-05,0.0004838110960196856
CASTROLIND.NS,6.397391637189173e-05,0.00039737276191837226
CBAZAAR.NS,1.710084879871501e-05,0.00010622159629544841
CCAVENUE.NS,0.00010218543640154878,0.0006347228901021069
CCCL.NS,4.558232971745564e-05,0.0002831337720392814
CCHHL.NS,8.913494481059573e-05,0.0005536600103849595
CCL.NS,5.456157090246795e-05,0.00033890815747595693
CDSL.NS,9.867800225351692e-05,0.000612936529758806
CEATLTD.NS,7.514934323057574e-05,0.0004667887127980527
CELEBRITY.NS,0.00012097695078869363,0.0007514460234685278
CELLECOR.NS,4.867387305685725e-05,0.0003023368345534927
CELLO.NS,2.9580558620035562e-05,0.00018373907593214714
CELLPOINT.NS,3.746553342400022e-05,0.00023271644660449948
CEMPRO.NS,0.00011404944869130131,0.0007084159762593873
CENTENKA.NS,9.695362750120904e-05,0.0006022256088590507
CENTEXT.NS,0.00012015354017220285,0.0007463314241220414
CENTRALBK.NS,0.0001053238013768729,0.0006542167843152236
CENTRUM.NS,0.00010863663355497626,0.0006747943782322873
CENTUM.NS,9.29420880006316e-05,0.0005773080077288892
CENTURYPLY.NS,6.919814466478908e-05,0.00042982295636281994
CERA.NS,5.087801359832749e-05,0.0003160278115061733
CEREBRAINT.NS,7.864368474096781e-05,0.0004884937484722577
CESC.NS,8.322554162532127e-05,0.0005169538651589736
CGCL.NS,5.02764286667023e-05,0.00031229107817225146
CGPOWER.NS,7.090363296124382e-05,0.0004404165644021028
CGRAPHICS.NS,4.2813174987111306e-05,0.00026593322022407735
CHALET.NS,7.687567747529682e-05,0.00047751180504757604
CHAMBLFERT.NS,8.904941982889693e-05,0.0005531287735916216
CHAVDA.NS,4.833897640996416e-05,0.0003002566304159267
CHEMBOND.NS,8.890849296270374e-05,0.0005522534090489516
CHEMCON.NS,8.208483784032865e-05,0.0005098684053453483
CHEMFAB.NS,9.617493969938033e-05,0.0005973888044232231
CHEMPLASTS.NS,5.889706608151487e-05,0.0003658380031269044
CHENNPETRO.NS,9.878528550862843e-05,0.000613602917652638
CHEVIOT.NS,3.40717838743449e-05,0.00021163623597668347
CHOICEIN.NS,4.6299535989760325e-05,0.00028758868512658006
CHOLAFIN.NS,8.33282602376503e-05,0.0005175918998611846
CHOLAHLDNG.NS,5.810756790792493e-05,0.0003609340502729755
